State,CSTI,Public_Order_Safety_Budget,State_Population,Budget_i,ln_Budget_i
ABIA,0.1209815236053665,0,4260000,0.0,0.0
ADAMAWA,0.3722155038518728,0,4900000,0.0,0.0
AKWA IBOM,0.2360251413567412,0,6500000,0.0,0.0
ANAMBRA,0.2029964307796183,0,6360000,0.0,0.0
BAUCHI,0.3053188148393561,0,7740000,0.0,0.0
BAYELSA,0.184027427225307,0,2550000,0.0,0.0
BENUE,0.3365817685407848,0,6800000,0.0,0.0
BORNO,0.3237184059446086,0,6950000,0.0,0.0
CROSS RIVER,0.1862437390130066,0,4470000,0.0,0.0
DELTA,0.1807193693365215,0,6650000,0.0,0.0
EBONYI,0.2418873665705194,0,3310000,0.0,0.0
EDO,0.2434798152579428,0,4850000,0.0,0.0
EKITI,0.2741181567045801,0,3820000,0.0,0.0
ENUGU,0.2811642661922052,0,5130000,0.0,0.0
FCT ABUJA,0.4037766540083584,0,3560000,0.0,0.0
GOMBE,0.390438967843223,0,3820000,0.0,0.0
IMO,0.1658763356663156,0,6350000,0.0,0.0
JIGAWA,0.3482265952714011,0,6730000,0.0,0.0
KADUNA,0.2663160538991853,0,9590000,0.0,0.0
KANO,0.3282860195412055,0,15420000,0.0,0.0
KATSINA,0.3289819121885439,0,9100000,0.0,0.0
KEBBI,0.3425104667378505,0,5190000,0.0,0.0
KOGI,0.2695214238890182,0,4970000,0.0,0.0
KWARA,0.3682705362910669,1800000000,3590000,501.39275766016715,6.219382199564749
LAGOS,0.1270919323052098,0,14730000,0.0,0.0
NASARAWA,0.2265931576623907,0,2860000,0.0,0.0
NIGER,0.2972865321594882,0,6510000,0.0,0.0
OGUN,0.1529435195379187,0,6150000,0.0,0.0
ONDO,0.2928565693885886,0,5430000,0.0,0.0
OSUN,0.2300212263663734,0,5520000,0.0,0.0
OYO,0.1793464638946592,0,9290000,0.0,0.0
PLATEAU,0.2865368823270154,0,4700000,0.0,0.0
RIVERS,0.1718694022792494,0,8660000,0.0,0.0
SOKOTO,0.3520894258711112,0,5810000,0.0,0.0
TARABA,0.3988999309442905,0,3590000,0.0,0.0
YOBE,0.3848152193564342,0,3830000,0.0,0.0
ZAMFARA,0.285124623998314,0,5300000,0.0,0.0
